nome;preco;descricao;quantidade
Logitech MX Vertical;470;Mouse;200
LG monitor curvo WS;2500;Monitor;10
Teclado Gamer TX ;150;Teclado gamer;50
Fone bluetooth Master;250;Fone bluetooth;150
Headset gamer RZR;180;Headset gamer;280
Caixa de som PC Sound;520;Caixa de som PC;320
Desktop gamer AMD Fighter;3500;PC Fighter gamer;5
Desktop office AMD Basix;2500;AMD Basix pc básico;15
Câmera fullhd ViewAll PC;180;Câmera video chamada full hd;40
SSD externo 250 gb ProData;120;SSD externo;50
Kit Home Office 2022;450;Kit completo câmera, teclado, apoio de mão e headset básico;250
